answer_f1,mrr,num_records,policy_name,recall@1,recall@10,recall@5,retriever,reward,rewrite_rate,subset
0.8591119707480203,0.7553434126984127,5000,always_llm,0.698,0.8634,0.8296,bm25,1.5088756917232165,1.0,all
0.8640157134662302,0.7596643650793651,5000,oracle_gated_rl,0.703,0.8696,0.8314,bm25,1.6567760392727977,0.139,all
0.857631224724071,0.7576453968253968,5000,original_only,0.7024,0.861,0.8284,bm25,1.664698310774734,0.0,all
0.8591119707480203,0.7553434126984127,5000,rl_selected,0.698,0.8634,0.8296,bm25,1.5088756917232165,1.0,all
0.8583250236380274,0.7575061111111111,5000,score_gated_rl,0.702,0.8616,0.8286,bm25,1.6653995673745692,0.0052,all
0.04748851775399521,0.47653436507936503,5000,always_llm,0.4252,0.5828,0.5446,dense,0.6830594414166802,1.0,all
0.04814580146237393,0.5091342857142857,5000,oracle_gated_rl,0.4528,0.6274,0.5808,dense,0.8399620435883298,0.3836,all
0.0485841443710854,0.506302857142857,5000,original_only,0.4522,0.6164,0.5762,dense,0.8899035007569713,0.0,all
0.04748851775399521,0.47653436507936503,5000,rl_selected,0.4252,0.5828,0.5446,dense,0.6830374414166801,1.0,all
0.0485841443710854,0.506302857142857,5000,score_gated_rl,0.4522,0.6164,0.5762,dense,0.8899035007569713,0.0,all
0.8274644259403531,0.6356375396825397,5000,always_llm,0.5466,0.8442,0.761,hybrid,1.4139989828114463,1.0,all
0.8466350029552561,0.6465969841269842,5000,oracle_gated_rl,0.5602,0.8724,0.7596,hybrid,1.5889959935411202,0.152,all
0.8337176478271269,0.6403374603174603,5000,original_only,0.5576,0.848,0.752,hybrid,1.5810875540722937,0.0,all
0.8273904405377503,0.6352605555555556,5000,rl_selected,0.5418,0.8442,0.7682,hybrid,1.3938468313799863,1.0,all
0.8337176478271269,0.6403374603174603,5000,score_gated_rl,0.5576,0.848,0.752,hybrid,1.5810875540722937,0.0,all
0.8677815253343879,0.7693679894179893,1500,always_llm,0.712,0.878,0.8433333333333334,bm25,1.5328014240428554,1.0,test
0.8715106397250787,0.7740179894179895,1500,oracle_gated_rl,0.7173333333333334,0.8833333333333333,0.8446666666666667,bm25,1.6830176479048675,0.12466666666666666,test
0.8620505950718009,0.7725087301587302,1500,original_only,0.7173333333333334,0.8753333333333333,0.842,bm25,1.6885196626152656,0.0,test
0.8677815253343879,0.7693679894179893,1500,rl_selected,0.712,0.878,0.8433333333333334,bm25,1.5328014240428554,1.0,test
0.8623921070257835,0.7727640211640211,1500,score_gated_rl,0.7173333333333334,0.876,0.8426666666666667,bm25,1.6894313974282358,0.004666666666666667,test
0.04201627623703446,0.47305079365079367,1500,always_llm,0.42333333333333334,0.5806666666666667,0.5393333333333333,dense,0.6744268682772474,1.0,test
0.04573534460189382,0.5105703703703705,1500,oracle_gated_rl,0.454,0.6266666666666667,0.5853333333333334,dense,0.838872857486132,0.38333333333333336,test
0.04575746931071668,0.5082407407407408,1500,original_only,0.4533333333333333,0.6166666666666667,0.5826666666666667,dense,0.889572438359062,0.0,test
0.04201627623703446,0.47305079365079367,1500,rl_selected,0.42333333333333334,0.5806666666666667,0.5393333333333333,dense,0.6744268682772474,1.0,test
0.04575746931071668,0.5082407407407408,1500,score_gated_rl,0.4533333333333333,0.6166666666666667,0.5826666666666667,dense,0.889572438359062,0.0,test
0.833045678644886,0.6362314814814815,1500,always_llm,0.5406666666666666,0.8586666666666667,0.768,hybrid,1.429531913396517,1.0,test
0.8515546094243375,0.6445677248677248,1500,oracle_gated_rl,0.552,0.8846666666666667,0.762,hybrid,1.6056211671460312,0.13533333333333333,test
0.8413480164468654,0.6403703703703704,1500,original_only,0.5513333333333333,0.8646666666666667,0.756,hybrid,1.6014325267419511,0.0,test
0.8347609455701834,0.6402708994708994,1500,rl_selected,0.5406666666666666,0.86,0.7806666666666666,hybrid,1.4136937002983192,1.0,test
0.8413480164468654,0.6403703703703704,1500,score_gated_rl,0.5513333333333333,0.8646666666666667,0.756,hybrid,1.6014325267419511,0.0,test
0.8553964473538626,0.7493328798185941,3500,always_llm,0.692,0.8571428571428571,0.8237142857142857,bm25,1.4986218064433712,1.0,train
0.8608036022124379,0.7535128117913832,3500,oracle_gated_rl,0.6968571428571428,0.8637142857142858,0.8257142857142857,bm25,1.6455296355733393,0.14514285714285713,train
0.8557372088607583,0.7512753968253968,3500,original_only,0.696,0.8548571428571429,0.8225714285714286,bm25,1.6544891599859348,0.0,train
0.8553964473538626,0.7493328798185941,3500,rl_selected,0.692,0.8571428571428571,0.8237142857142857,bm25,1.4986218064433712,1.0,train
0.8565819879004176,0.7509670068027211,3500,score_gated_rl,0.6954285714285714,0.8554285714285714,0.8225714285714286,bm25,1.6551002116372835,0.0054285714285714284,train
0.049833764118406954,0.47802732426303857,3500,always_llm,0.426,0.5837142857142857,0.5468571428571428,dense,0.6867591156192941,1.0,train
0.0491788544025797,0.508518820861678,3500,oracle_gated_rl,0.4522857142857143,0.6277142857142857,0.5788571428571428,dense,0.8404288376321288,0.38371428571428573,train
0.04979557653981485,0.5054723356009071,3500,original_only,0.45171428571428573,0.6162857142857143,0.5734285714285714,dense,0.8900453846417895,0.0,train
0.049833764118406954,0.47802732426303857,3500,rl_selected,0.426,0.5837142857142857,0.5468571428571428,dense,0.6867276870478657,1.0,train
0.04979557653981485,0.5054723356009071,3500,score_gated_rl,0.45171428571428573,0.6162857142857143,0.5734285714285714,dense,0.8900453846417895,0.0,train
0.8250724604955533,0.635382993197279,3500,always_llm,0.5491428571428572,0.838,0.758,hybrid,1.407342012560702,1.0,train
0.8445266001827927,0.6474666666666666,3500,oracle_gated_rl,0.5637142857142857,0.8671428571428571,0.7585714285714286,hybrid,1.5818709191390152,0.15914285714285714,train
0.8304474898472389,0.6403233560090703,3500,original_only,0.5602857142857143,0.8408571428571429,0.7502857142857143,hybrid,1.572368280071012,0.0,train
0.8242316526667077,0.6331132653061224,3500,rl_selected,0.5422857142857143,0.8374285714285714,0.7628571428571429,hybrid,1.3853410304149865,1.0,train
0.8304474898472389,0.6403233560090703,3500,score_gated_rl,0.5602857142857143,0.8408571428571429,0.7502857142857143,hybrid,1.572368280071012,0.0,train
